# Version 1.0
# Parameter A+C A/(A+C) B D Q
0.964 0.868 11.583 0.023 2.318
1.443 0.327 2.407 10.793 2.878
0.931 0.678 3.268 9.297 3.96
0.971 0.928 1.197 6.463 2.495
0.851 0.178 0.564 5.609 3.062
0.633 0.073 12.959 1.613 3.047
0.027 0.666 7.342 17.121 2.795
0.2 0.48 16.538 2.384 1.87
0.589 0.789 10.169 19.882 1.722
1.06 0.261 1.672 10.914 1.349
1.417 0.378 17.325 14.912 2.606
0.088 0.35 7.64 3.982 3.411
0.814 0.094 8.231 7.948 3.903
1.341 0.802 13.987 14.498 1.568
0.348 0.247 10.696 18.185 1.429
0.25 0.88 6.573 8.869 3.641
0.431 0.822 19.857 6.68 2.375
0.476 0.688 1.782 2.194 3.01
0.233 0.458 0.17 7.279 1.945
1.254 0.707 2.719 15.968 1.847
1.139 0.457 8.947 17.293 1.102
0.547 0.586 14.207 19.414 3.561
0.745 0.931 14.295 7.022 1.315
1.2 0.829 13.426 13.815 3.682
1.296 0.29 8.808 19.503 2.53
1.13 0.551 12.528 3.363 1.084
0.767 0.159 16.267 18.989 2.161
0.308 0.643 8.294 3.576 1.139
0.394 0.022 3.794 12.038 2.026
0.699 0.628 9.261 1.38 3.842
1.234 0.764 19.606 7.609 2.446
0.907 0.103 2.264 16.523 2.744
0.298 0.949 15.303 14.25 2.831
0.824 0.958 14.769 6.085 3.498
0.495 0.542 0.923 18.511 2.218
1.086 0.419 18.169 11.181 1.207
0.002 0.205 10.446 8.588 1.733
0.664 0.06 10.884 17.58 3.328
0.165 0.13 15.617 8.025 3.235
0.574 0.492 18.659 3.024 3.366
1.4 0.742 6.522 4.451 3.284
0.516 0.636 19.35 15.217 1.624
0.874 0.338 18.555 13.531 3.715
0.779 0.909 4.96 11.78 1.236
0.683 0.993 5.565 16.055 2.958
1.488 0.559 5.772 5.959 1.675
0.366 0.235 5.18 0.831 2.149
1.46 0.22 13.709 5.247 2.359
0.415 0.442 4.032 13.386 1.027
1.024 0.007 16.92 9.432 2.896
1.325 0.517 15.919 4.915 3.612
0.138 0.851 11.408 2.706 2.549
1.17 0.048 11.811 12.905 1.472
0.116 0.412 17.444 15.681 2.69
0.61 0.119 12.03 4.089 1.275
1.046 0.783 16.694 18.63 2.658
1.375 0.275 9.971 12.624 3.773
0.063 0.192 7.786 14.801 3.185
0.33 0.393 0.803 11.524 3.471
0.178 0.899 3.632 9.852 2.047
1.368 0.982 9.453 8.385 2.286
0.083 0.722 12.702 12.395 1.412
0.716 0.511 4.839 17.858 3.808
0.885 0.571 3.133 1.887 1.536
0.987 0.358 17.791 0.965 2.082
1.187 0.301 7.142 0.439 3.135
0.461 0.147 19.135 10.116 1.79
1.267 0.753 4.482 16.702 3.209
1.108 0.037 6.067 4.616 1.92
0 0 15.085 10.488 3.917
